moth_educ,moth_pp_group,outcome,pred,var,upper,lower
Completed primary,Black African,educ,0.0024806797559447373,2.195851291357711e-4,0.03152475371412041,-0.026563394202230934
Completed primary,Black African,behind,-0.004935112693138981,0.0022246607337939664,0.08751085355170536,-0.09738107893798333
Completed primary,Black African,private,0.019426715489693377,2.322489566253828e-4,0.04929655967696811,-0.01044312869758136
Grade 12/Std 10,Black African,educ,-5.12047215310197e-4,1.1865355556356656e-4,0.020837882504784837,-0.021861976935405234
Grade 12/Std 10,Black African,behind,3.22149632397688e-4,0.0022885104978390917,0.09408537231858022,-0.09344107305378485
Grade 12/Std 10,Black African,private,0.03381130215846007,0.0013415597922094747,0.10560082853767447,-0.037978224220754316
Higher,Black African,educ,0.006436477271009098,1.5871918908458293e-4,0.031129302884683484,-0.01825634834266529
Higher,Black African,behind,-0.00518541776801493,0.0012896351768717338,0.06520110434716316,-0.07557193988319301
Higher,Black African,private,0.0047538821102855126,0.0023780091652529384,0.10033295936695132,-0.09082519514638028
No schooling,Black African,educ,0.002463947892965182,1.621170691602023e-4,0.02741968737080541,-0.022491791584875045
No schooling,Black African,behind,-0.011699295042279066,0.0025025747257168855,0.08635115659520187,-0.10974974667976001
No schooling,Black African,private,0.01607512475790542,2.484686179710907e-4,0.046970383986430136,-0.0148201344706193
Some primary,Black African,educ,0.01664492455972714,2.8100175646377933e-4,0.04950061428968494,-0.01621076517023066
Some primary,Black African,behind,-0.03750197561208452,0.0037161039573409666,0.08197934076215474,-0.1569832919863238
Some primary,Black African,private,0.01790897868150785,2.6440150443410656e-4,0.049779416699113815,-0.013961459336098117
Some secondary,Black African,educ,-0.008364813623295981,5.471970493590842e-5,0.006133849021299409,-0.02286347626789137
Some secondary,Black African,behind,0.033690824675328926,0.0011045551320706074,0.09883112706457521,-0.03144947771391736
Some secondary,Black African,private,0.01505453645470885,2.642425858156855e-4,0.046915395163625306,-0.0168063222542076
Completed primary,White,educ,-5.995007908845728e-4,5.4549114815527544e-5,0.013876544230989689,-0.015075545812758833
Completed primary,White,behind,-0.0054779056847283885,0.0015986270439803732,0.07288844967364592,-0.0838442610431027
Completed primary,White,private,0.037630756919901816,0.002348585847770972,0.13261668952466685,-0.05735517568486322
Grade 12/Std 10,White,educ,-0.0014178549977807522,6.466595569713712e-5,0.014343513451885092,-0.017179223447446598
Grade 12/Std 10,White,behind,-0.003585413010532946,0.0014520875433151888,0.07110286924578642,-0.07827369526685231
Grade 12/Std 10,White,private,0.038845508807691644,0.0023315310980339086,0.1334859328674298,-0.0557949152520465
Higher,White,educ,-4.045633521587571e-4,6.733610266540476e-5,0.015678917987383963,-0.016488044691701478
Higher,White,behind,0.0012796007401207165,0.001134951290551783,0.06731011548734747,-0.06475091400710603
Higher,White,private,0.0273912903469874,0.0035053975128767853,0.14343582957855772,-0.08865324888458291
No schooling,White,educ,2.2273177596770428e-4,2.1069959118225024e-5,0.009219528703128683,-0.008774065151193276
No schooling,White,behind,-0.0076325331283010715,0.0016149329576299054,0.07113247464819218,-0.08639754090479433
No schooling,White,private,0.036708432517923266,0.0023985071226928097,0.13269856202370472,-0.0592816969878582
Some primary,White,educ,0.010486966160418274,8.726719080052228e-5,0.028796680526821876,-0.007822748205985325
Some primary,White,behind,-0.028185064853925187,0.002231047600721657,0.06439350968107355,-0.12076363938892393
Some primary,White,private,0.03756290632499163,0.002484102790448495,0.1352508241029182,-0.060125011452934925
Some secondary,White,educ,-0.006153526035125026,6.595557644499645e-5,0.009764229537539684,-0.022071281607789733
Some secondary,White,behind,0.016424292648169046,5.396816084598868e-4,0.0619571474571913,-0.02910856216085321
Some secondary,White,private,0.03716335841457387,0.00190021953399912,0.12260271329165039,-0.04827599646250265
Completed primary,"Coloured, Indian or Asian, and Other",educ,-0.0029784817471284687,2.5783959329391605e-4,0.028493991647854454,-0.03445095514211139
Completed primary,"Coloured, Indian or Asian, and Other",behind,0.009683863777417933,0.0012352951929507294,0.07857152604897076,-0.05920379849413489
Completed primary,"Coloured, Indian or Asian, and Other",private,0.024161510559793424,7.890402015109336e-4,0.07921763499771951,-0.030894613878132665
Grade 12/Std 10,"Coloured, Indian or Asian, and Other",educ,-0.0065280733372478274,1.8431008153721085e-4,0.02008105309022719,-0.03313719976472284
Grade 12/Std 10,"Coloured, Indian or Asian, and Other",behind,0.018268305900237952,6.893395705607036e-4,0.06972864882822473,-0.033192037027748825
Grade 12/Std 10,"Coloured, Indian or Asian, and Other",private,0.03303935136724487,0.0011951406143301565,0.10079813075420496,-0.034719428019715226
Higher,"Coloured, Indian or Asian, and Other",educ,5.008225663203175e-4,1.6861427758999592e-4,0.02595172842033126,-0.024950083287690623
Higher,"Coloured, Indian or Asian, and Other",behind,0.009809277671160226,0.002215562105001324,0.10206600307680795,-0.08244744773448749
Higher,"Coloured, Indian or Asian, and Other",private,0.011679737691804597,0.0025101308732932595,0.10987810205111247,-0.08651862666750328
No schooling,"Coloured, Indian or Asian, and Other",educ,-0.002233757673210669,1.537246069411633e-4,0.022067444972443992,-0.026534960318865326
No schooling,"Coloured, Indian or Asian, and Other",behind,0.003774490269894235,0.001962792770375405,0.0906091878663859,-0.08306020732659743
No schooling,"Coloured, Indian or Asian, and Other",private,0.021666228182204917,7.975122843506798e-4,0.07701713776426664,-0.033684681399856795
Some primary,"Coloured, Indian or Asian, and Other",educ,0.01026246537594128,3.297693637166914e-4,0.045855189178061875,-0.025330258426179312
Some primary,"Coloured, Indian or Asian, and Other",behind,-0.02112884611079286,0.00277941976326602,0.08220275100530103,-0.12446044322688674
Some primary,"Coloured, Indian or Asian, and Other",private,0.02214335108774687,8.440590809862137e-4,0.07908663309288456,-0.03479993091739082
Some secondary,"Coloured, Indian or Asian, and Other",educ,-0.008742641049822827,7.805076435374458e-5,0.00857324230452399,-0.026058524404169642
Some secondary,"Coloured, Indian or Asian, and Other",behind,0.03778462868096096,9.523644529460845e-4,0.09827101791389235,-0.02270176055197043
Some secondary,"Coloured, Indian or Asian, and Other",private,0.021251304233537,5.329807020908632e-4,0.06650059887060576,-0.02399799040353176
