year,pop_group,mult,all,prop
1970,Black African,33,40864,0.807556773688332
1970,"Coloured, Indian or Asian, and Other",3,7295,0.41124057573680606
1970,White,2,5619,0.3559352197899982
1971,Black African,28,34690,0.8071490343038339
1971,"Coloured, Indian or Asian, and Other",4,7426,0.5386479935362241
1971,White,3,5897,0.5087332541970493
1972,Black African,40,44863,0.8916033256804048
1972,"Coloured, Indian or Asian, and Other",3,7643,0.3925160277377993
1972,White,3,5672,0.5289139633286319
1973,Black African,36,41435,0.8688306986846869
1973,"Coloured, Indian or Asian, and Other",7,7198,0.972492358988608
1973,White,2,5358,0.3732736095558044
1974,Black African,55,44210,1.2440624293146345
1974,"Coloured, Indian or Asian, and Other",5,7228,0.691754288876591
1974,White,2,5354,0.3735524841240194
1975,Black African,45,48414,0.9294832073367207
1975,"Coloured, Indian or Asian, and Other",7,7340,0.9536784741144414
1975,White,5,5293,0.9446438692612885
1976,Black African,59,48147,1.2254138367914926
1976,"Coloured, Indian or Asian, and Other",14,7167,1.9533975163945863
1976,White,4,5171,0.7735447689035002
1977,Black African,54,48162,1.1212158963498193
1977,"Coloured, Indian or Asian, and Other",9,6943,1.296269624081809
1977,White,4,4793,0.8345503859795536
1978,Black African,67,47063,1.4236236534007607
1978,"Coloured, Indian or Asian, and Other",10,7004,1.4277555682467162
1978,White,7,4523,1.5476453681185054
1979,Black African,78,54494,1.431350240393438
1979,"Coloured, Indian or Asian, and Other",9,7477,1.2036913200481476
1979,White,6,4747,1.2639561828523278
1980,Black African,89,57871,1.5379032676124484
1980,"Coloured, Indian or Asian, and Other",15,7961,1.8841854038437382
1980,White,6,5052,1.187648456057007
1981,Black African,121,55128,2.1948918879698156
1981,"Coloured, Indian or Asian, and Other",20,8268,2.4189646831156266
1981,White,2,5091,0.3928501276762915
1982,Black African,165,66404,2.4847900728871757
1982,"Coloured, Indian or Asian, and Other",19,8675,2.190201729106628
1982,White,4,5083,0.7869368483179224
1983,Black African,168,65078,2.581517563539138
1983,"Coloured, Indian or Asian, and Other",19,8821,2.1539507992291127
1983,White,10,4989,2.0044097013429547
1984,Black African,207,66141,3.129677507143829
1984,"Coloured, Indian or Asian, and Other",37,8973,4.123481555778446
1984,White,12,5151,2.3296447291788005
1985,Black African,225,71070,3.1658927817644575
1985,"Coloured, Indian or Asian, and Other",22,9080,2.422907488986784
1985,White,18,5224,3.4456355283307807
1986,Black African,279,70057,3.9824714161325776
1986,"Coloured, Indian or Asian, and Other",38,9176,4.141238012205754
1986,White,16,4949,3.2329763588603755
1987,Black African,262,67617,3.8747652217637576
1987,"Coloured, Indian or Asian, and Other",31,8587,3.6101083032490977
1987,White,19,4613,4.118794710600477
1988,Black African,373,71622,5.207897014883695
1988,"Coloured, Indian or Asian, and Other",41,8913,4.600022439133849
1988,White,23,4708,4.885301614273577
1989,Black African,356,70682,5.036642992558219
1989,"Coloured, Indian or Asian, and Other",47,9418,4.990443830961987
1989,White,22,4613,4.769130717537394
1990,Black African,429,75915,5.6510571033392605
1990,"Coloured, Indian or Asian, and Other",49,9729,5.036488847774694
1990,White,37,4800,7.708333333333334
1991,Black African,417,72551,5.747680941682403
1991,"Coloured, Indian or Asian, and Other",32,9159,3.4938312042799433
1991,White,31,4510,6.873614190687362
1992,Black African,488,74402,6.558963468723959
1992,"Coloured, Indian or Asian, and Other",61,9097,6.705507310102232
1992,White,30,4389,6.83526999316473
1993,Black African,571,72137,7.915494129226333
1993,"Coloured, Indian or Asian, and Other",49,8869,5.524861878453039
1993,White,34,4367,7.785665216395695
1994,Black African,633,73379,8.626446258466318
1994,"Coloured, Indian or Asian, and Other",59,8846,6.669681211847163
1994,White,43,4078,10.544384502206963
1995,Black African,642,69963,9.176278890270572
1995,"Coloured, Indian or Asian, and Other",66,8920,7.399103139013453
1995,White,36,4341,8.2930200414651
1996,Black African,594,71462,8.312109932551566
1996,"Coloured, Indian or Asian, and Other",57,8787,6.486855582109936
1996,White,41,4200,9.761904761904761
1997,Black African,610,68339,8.9260890560295
1997,"Coloured, Indian or Asian, and Other",58,8614,6.733224982586488
1997,White,39,3978,9.803921568627452
1998,Black African,555,66300,8.371040723981901
1998,"Coloured, Indian or Asian, and Other",62,8519,7.277849512853621
1998,White,42,4085,10.281517747858016
1999,Black African,520,66536,7.815318023325718
1999,"Coloured, Indian or Asian, and Other",48,8388,5.7224606580829755
1999,White,46,4043,11.377689834281474
2000,Black African,602,69430,8.670603485524989
2000,"Coloured, Indian or Asian, and Other",69,9123,7.563301545544229
2000,White,55,4064,13.533464566929133
2001,Black African,604,66457,9.088583595407558
2001,"Coloured, Indian or Asian, and Other",64,8589,7.451391314471999
2001,White,63,4071,15.475313190862197
2002,Black African,570,65380,8.718262465585806
2002,"Coloured, Indian or Asian, and Other",56,7916,7.074279939363315
2002,White,52,3897,13.34359763920965
2003,Black African,565,67314,8.393499123510711
2003,"Coloured, Indian or Asian, and Other",63,8323,7.5693860386879726
2003,White,49,3785,12.945838837516511
2004,Black African,661,73288,9.019211876432703
2004,"Coloured, Indian or Asian, and Other",74,8455,8.752217622708457
2004,White,65,3974,16.356316054353297
2005,Black African,732,78984,9.267699787298694
2005,"Coloured, Indian or Asian, and Other",64,9012,7.1016422547714155
2005,White,52,4068,12.782694198623402
2006,Black African,772,79969,9.653740824569521
2006,"Coloured, Indian or Asian, and Other",74,9223,8.02341971159059
2006,White,54,4039,13.369645951968309
2007,Black African,715,80487,8.883422167555008
2007,"Coloured, Indian or Asian, and Other",70,9273,7.548797584384773
2007,White,48,4025,11.925465838509318
2008,Black African,788,84251,9.353004712110241
2008,"Coloured, Indian or Asian, and Other",67,9652,6.941566514711977
2008,White,57,4259,13.383423338811928
2009,Black African,893,84232,10.601671573748694
2009,"Coloured, Indian or Asian, and Other",86,9898,8.68862396443726
2009,White,61,4304,14.172862453531598
2010,Black African,810,82472,9.821515180909884
2010,"Coloured, Indian or Asian, and Other",73,9495,7.688256977356503
2010,White,57,4070,14.004914004914005
2011,Black African,672,66559,10.0963055334365
2011,"Coloured, Indian or Asian, and Other",54,7412,7.285483000539665
2011,White,48,3247,14.782876501385894
